店家名,緯度,經度,地址,評價,評論量
承攜行旅 台中自由館 Guide Hotel Taichung ZiYou,24.14104226,120.6834326,400台中市中區自由路二段66號,4.9,2422
雀客旅館台中自由 CHECK inn Taichung ZiYou,24.14076782,120.6831318,400台中市中區自由路二段52-1號,4.8,632
旅幸福-台中館,24.14099055,120.6848917,400台中市中區繼光街166號,4,1316
華利大旅社Modern Inn,24.14127702,120.6856107,400台中市中區雙十路一段35號4~8樓,4.3,338
"臺中公園智選假日飯店 Holiday Inn Express Taichung Park, an IHG Hotel",24.14274633,120.6855297,"400台中市中區Tze Yu Road94號Sec 2, Taichung, (Hotel Entrance Is on Shuangshi Road",4.1,2084
博奇大飯店,24.14046381,120.6856613,400台中市中區雙十路一段5號,3.9,2136
閒雲小居會館,24.14022355,120.6837271,400台中市中區成功路110號,3.5,64
宜舍單人旅店 (Ease Single Inn),24.13930545,120.6835713,400台中市中區臺灣大道一段100號10樓,4.1,786
星河商旅,24.13915586,120.6836415,400台中市中區綠川西街135號9樓,3.3,583
葉綠宿站前館 - 川閱 Green Hotel-midori,24.13909175,120.683665,400台中市中區綠川西街123號12樓,4.3,383
新盛橋行旅S.S.B-Hotel,24.13807295,120.6830913,400台中市中區中山路26號,4.4,968
寶島53行館,24.13740257,120.683296,400台中市中區中山路27號1樓,4.2,1902
台中李方艾美酒店,24.13669373,120.6833502,400台中市中區建國路111號,4.1,737
樂府大飯店,24.13627062,120.6828023,43346台中市中區建國路89號,3.5,274
路得行旅 國際青年旅館 台中站前館,24.13752346,120.6840547,400台中市中區建國路123號12樓,4.6,692
東城年代旅舍,24.13774875,120.6837296,400台中市中區中山路14號,3.9,295
奇異果快捷旅店 台中站前一館,24.13799052,120.6841631,400台中市中區臺灣大道一段19號1樓,3.8,1494
中欣商務精品飯店 | Butler Hotel,24.13775974,120.6854035,400台中市中區建國路180號,4.2,1084
挪威森林台中行旅1號館,24.13791909,120.6854336,400001台中市中區建國路184號,4.5,497
巧合大飯店(Chance Hotel),24.13827626,120.6852891,400台中市中區建國路163號,3.9,2239
葉綠宿．茶覺旅 Tea Way Hotel,24.13849605,120.6854758,400台中市中區建國路173號,4.6,283
旅巷自在輕旅 Loosha Hostel,24.13831008,120.6859405,400台中市中區成功路10號5樓,4.5,432
沐品居太空旅棧 Mu Pin Ju Hostel,24.13830885,120.6859432,40044台中市中區成功路10號12樓,4.3,470
挪威森林台中行旅3號館 Norway Forest Taichung Travel Hotel No.3,24.13891913,120.6858972,400台中市中區建國路187號,4.5,707
台中鳳凰酒店,24.14091377,120.6765824,40041台中市中區民權路162號,4.2,1095
漫旅光城,24.14403772,120.6806463,400台中市中區光復路169-1號,4.4,1298
雲端商務旅館-台中館,24.14599267,120.6803371,400台中市中區公園路36號,4,1742
快樂腳旅棧 Happy Inn & Hostel,24.14601283,120.6774438,"號 10樓, No. 185中華路一段中區台中市400",4.2,612
高苑商務旅館 中正店,24.1461136,120.6754339,404台中市北區臺灣大道一段640號,3.8,364
mini west hotel 小西城旅店,24.14706083,120.6731811,403台中市西區五權路96號,4.1,569
GetCha Hostel & Bistro,24.15414964,120.687127,404台中市北區一中街166號,4.5,1281
日光寓sunlight,24.15383637,120.6867971,404台中市北區一中街267號,4.9,303
菱居 Live in ,24.15401748,120.6874435,404台中市北區一中街162-28號3樓,4.8,298
小鹿斑比,24.1538535,120.6876769,404台中市北區一中街162-26號3樓,4.8,304
星漾商旅一中館,24.15379966,120.6881248,404台中市北區錦南街17號,4.6,2003
藻宿-找宿,24.1533291,120.6864799,40444台中市北區錦新街72-3號阿月紅茶冰,4.4,440
博客創意旅店 Box Design Hotel,24.15299337,120.687432,404台中市北區錦新街40號,4,1418
雀客快捷旅館 台中一中 CHECK inn Express Taichung YiZhong,24.15283069,120.6879555,404台中市北區錦新街18號,4.5,1000
風華嚼旅,24.15300151,120.6836511,404台中市北區育才北路73號,4.6,1024
法堤商旅,24.15884612,120.676993,404台中市北區健行路585號,3.5,712
北海大飯店,24.15958697,120.6758382,404台中市北區中清路一段288號,2.9,396
台中潛立方,24.17623871,120.6209738,407台中市西屯區安和西路69號1樓,4.2,484
台中福華大飯店,24.18011426,120.6248361,407台中市西屯區安和路129號,4.2,5542
裕元花園酒店,24.17976191,120.6240422,40764台中市西屯區台灣大道四段610號,4.3,8597
水雲端旗艦概念旅館,24.17419387,120.6349964,407台中市西屯區青海南街159號,4.1,2664
雀客旅館 台中青海 CHECK inn Taichung QingHai,24.17489983,120.6353909,407台中市西屯區青海南街150號,4.6,257
Fairfield by Marriott Taichung,24.1820191,120.6361869,40765台中市西屯區環中路二段1155號,4.1,1402
余舍行旅,24.18267901,120.6363846,407台中市西屯區環中路二段1129號,3.9,936
璞樹文旅 TREEART HOTEL,24.17746071,120.6372342,407台中市西屯區黎明路三段235號,4.4,1336
台中朝聖行旅,24.15891849,120.6913811,404台中市北區雙十路二段92號,4.8,40
森園樹屋咖啡莊園,24.86947265,120.9847285,304新竹縣新豐鄉康樂路一段361巷83號,3.9,237
青葉大飯店,24.87130965,120.9963599,304新竹縣新豐鄉學府街130號6樓,4.1,493
喬蓮大飯店,24.83945955,121.0110917,302新竹縣竹北市台元街33號,4,434
雲端商務旅館-新竹館,24.83988882,121.0082432,302新竹縣竹北市新泰路102號,3.5,685
享豪大飯店,24.83612266,121.0095784,302新竹縣竹北市信義街7號,3.9,897
新大竹北商旅,24.82232103,121.0151554,302新竹縣竹北市光明九路1號,3.7,461
新竹豐邑喜來登大飯店,24.82056084,121.0279142,302新竹縣竹北市光明六路東一段265號,4.2,9115
HOTEL j日月光國際飯店-新竹館,24.8125227,120.9804696,300新竹市東區中央路355巷16號,3.6,957
琺何精品旅館,24.79531245,120.9605637,300新竹市東區振興路109號,4.5,870
煙波大飯店 新竹湖濱館,24.77513002,120.9676233,300新竹市東區明湖路773號,4.3,11084
湖山風景旅館,24.77248366,120.9678754,300新竹市東區明湖路1001號,3.5,487
紫晶彩繪汽車旅館,24.79885084,120.9749212,300新竹市東區東南街53巷10弄18號,3.8,1072
Sweet Home,24.80079651,120.9668257,"2F, No, No. 316西大路 Hsinchu City, 新竹縣300",3.9,40
悅豪大飯店,24.80288601,120.9691451,300新竹市東區復興路22號,3.7,520
柿子紅快捷旅店 Persimmon Hotel,24.80323643,120.9693595,30042新竹市東區大同路23巷5號,3.2,794
新苑庭園大飯店,24.80291276,120.9698147,300新竹市東區大同路11號,4,710
