地點,地區,縣市,地址,緯度,經度,文字敘述,星級,評論數量,AI評論,評論連結,預覽圖路徑,事故發生次數
後壁湖餵魚區,南部地區,屏東縣,946屏東縣恆春鎮大光里,21.94537119,120.7514746,後壁湖潛水點位置就在墾丁國家公園保護區內，海域左側地形平坦，餵魚區最有名的是由疣枝狀雀屏珊瑚組成巨大的群礁體，每年都持續以極微小速度成長著，雀屏珊瑚表面與群礁間凹槽縫隙，形成了天然的魚類庇護所，所以魚種繁多能看到許多海洋生物。,4.5,79,1.浮潛的時候能看到不錯的生物多樣性。\n2.天氣變好後能看清楚水下景象。\n3.有各式各樣的熱帶魚。,https://www.google.com/search?q=%E5%BE%8C%E5%A3%81%E6%B9%96%E6%B5%AE%E6%BD%9B%E5%8D%80&hl=zh-TW&ei=KTXTZP6yK5r9-QbypaOIBQ&ved=0ahUKEwi-686v_M6AAxWaft4KHfLSCFEQ4dUDCA8&uact=5&oq=%E5%BE%8C%E5%A3%81%E6%B9%96%E6%B5%AE%E6%BD%9B%E5%8D%80&gs_lp=Egxnd3Mtd2l6LXNlcnAiEuW-jOWjgea5lua1rua9m-WNgDIFEC4YgAQyCBAAGAUYHhgPSLYEUABYAHAAeAGQAQCYAZkBoAGZAaoBAzAuMbgBA8gBAPgBAvgBAeIDBBgAIEGIBgE&sclient=gws-wiz-serp#lrd=0x3471b0387e36334b:0x7123deeaf89a21bc，1，，，，,img/map_img/12.jpg,null
藍洞,東部地區,臺東縣,951臺東縣綠島鄉,22.66167322,121.5086298,藍洞是個位於綠島柚子湖附近的一處秘境，月形海蝕洞洞窟內部的海面因為日光折射而閃耀出神祕的藍光、海天一線的美景，是許多人潛水愛好者的秘密基地，這邊可以跳水、浮潛，有五彩斑斕的珊瑚礁石，並透著神秘藍光的海水，這處是可貴的天然秘境。,4.7,100,1.藍洞的魅力要親自體驗。\n2.若是無浮潛、潛水經驗，建議由浮潛店帶領前往。\n3.若是無浮潛、潛水經驗，建議由浮潛店帶領前往。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E8%97%8D%E6%B4%9E&hl=zh-TW&ei=rTXTZJSAMNn7wQPN8pcI&ved=0ahUKEwjUiszu_M6AAxXZfXAKHU35BQEQ4dUDCA8&uact=5&oq=%E7%B6%A0%E5%B3%B6%E8%97%8D%E6%B4%9E&gs_lp=Egxnd3Mtd2l6LXNlcnAiDOe2oOWztuiXjea0njILEC4YgAQYxwEYrwEyBRAAGIAEMgsQABiKBRixAxiDATIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyGhAuGIAEGMcBGK8BGJcFGNwEGN4EGOAE2AEBSP0-UABYqjxwAHgBkAEAmAHlAqAB1BGqAQgyLjExLjEuMbgBA8gBAPgBAcICBRAuGIAEwgIOEC4YrwEYxwEYsQMYgATCAggQLhiABBixA8ICCBAAGIAEGLEDwgILEAAYgAQYsQMYgwHCAhQQLhiABBixAxiDARjHARivARiYBcICHRAuGK8BGMcBGLEDGIAEGJcFGNwEGN4EGOAE2AEBwgIFEAAYogTCAgcQABiKBRhDwgIHEC4YigUYQ8ICChAAGIoFGLEDGEPCAhEQLhiABBixAxiDARjHARivAcICExAuGIoFGLEDGIMBGMcBGK8BGEPCAiIQLhiKBRixAxiDARjHARivARhDGJcFGNwEGN4EGOAE2AEB4gMEGAAgQYgGAboGBggBEAEYFA&sclient=gws-wiz-serp#lrd=0x346f8dee44965041:0x8e9172b455c20d7e，1，，，，,img/map_img/13.jpg,2
公館鼻後礁,東部地區,臺東縣,951臺東縣綠島鄉,22.67940647,121.4915898,公館鼻為綠島東北岸，海底礁石多、地形變化大，以表覆形石珊瑚為主，主要特色為群礁夾雜礫灘等地形，火成岩地形發達，更因海蝕作用發展出獨特的海蝕景觀，適合浮潛、初級水肺潛水，近岸海底和大礁岩之間為平台地形以硬珊瑚為主，適合岸潛及夜潛。,4.6,55,1.綠島石山是臺灣重要的史前遺址。\n2.山頂可欣賞綠島燈塔、石牛山和綠島監獄。\n3.夕陽景色迷人，放空心情，欣賞大自然的美景。,https://www.google.com/search?q=%E5%85%AC%E9%A4%A8%E9%BC%BB%E5%BE%8C%E7%A4%81%0D%0A&hl=zh-TW&ei=NjXTZN-2KsbK-Qax0JegBQ&ved=0ahUKEwjfqee1_M6AAxVGZd4KHTHoBVQQ4dUDCA8&uact=5&oq=%E5%85%AC%E9%A4%A8%E9%BC%BB%E5%BE%8C%E7%A4%81%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOWFrOmkqOm8u-W-jOekgQpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x346f8c4b4b24d6b7:0x6f97faac4147d180，1，，，，,img/map_img/14.jpg,null
石朗,東部地區,臺東縣,951臺東縣綠島鄉,22.65595755,121.4744973,石朗一帶為軟珊瑚礁群海岸，海岸線平緩綿延，海底設置了世界最深11米的豆丁海馬海底郵筒，可以投遞專用防水明信片，當親友收到綠島鹹鹹海味的明信片時，相信會給人留下難忘深刻的體驗，還有具有人工漁礁功能的「海洋之心」裝置藝術，將成為浪漫婚紗的水下拍攝熱點。附近有太平洋黑潮北流通過，周邊有著多樣的環狀珊瑚礁，以及各種魚群，岸上的珊瑚礁群與淺灣的珊瑚礁緊密相連，也有較多珍貴的軟硬珊瑚與優遊其間的小魚，形成優美的海底景觀。,4.6,649,1.能見度好，能看到很多熱帶魚和海龜。\n2.臺灣離島上有很多潛點。\n3.適合親子來玩，小孩也能在岸上玩沙。,https://www.google.com/search?q=%E7%9F%B3%E6%9C%97%0D%0A&hl=zh-TW&ei=bDXTZP-oDNK1oASdj5m4Bg&ved=0ahUKEwj_jqnP_M6AAxXSGogKHZ1HBmcQ4dUDCA8&uact=5&oq=%E7%9F%B3%E6%9C%97%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiB-efs-aclwpIAFAAWABwAHgAkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x346f8d0e05df8365:0xa6f0c2312318e8e6，1，，，，,img/map_img/15.jpg,9
樓門岩,東部地區,臺東縣,951臺東縣綠島鄉,22.68425441,121.5075738,樓門岩位於綠島東北角海岸外約300公尺處，是一連串突出海面小珊瑚礁岩塊群，而其中最高大一塊經過海浪擊打侵蝕，中央地方貫穿成圓洞，海流會由此通過，遠望狀似拱門，像拱門一樣，因此被稱為「樓門岩」，為綠島最有名的兩大奇岩之一。,4.7,18,1.世界級的海底景觀!\n2.只有親身體驗才知道有多美。\n3.綠島東北角一處島礁。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E6%A8%93%E9%96%80%E5%B2%A9&hl=zh-TW&ei=ojXTZJ3-GdGhhwO2hbuQDQ&ved=0ahUKEwid15bp_M6AAxXR0GEKHbbCDtIQ4dUDCA8&uact=5&oq=%E7%B6%A0%E5%B3%B6%E6%A8%93%E9%96%80%E5%B2%A9&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-e2oOWztuaok-mWgOWyqTIFEAAYgAQyBRAAGIAESJgKUMAEWMAEcAF4AZABAJgBgAGgAYABqgEDMC4xuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#rlimm=18074590053871284735,img/map_img/16.jpg,null
大白沙潛水區,東部地區,臺東縣,951臺東縣綠島鄉,22.63965608,121.4976939,位於樓門岩東北方的一座外礁，是所有外礁潛點中距離綠島最遠的一點，礁石頂端有三塊岩石由南至北露出水面，入水後水深呈階梯狀從24米、30米、50米往下墜至65米，尤其在礁石南北側峭壁，並未有任何緩衝礁坪，可從凸出水面的石塊直接下切到60米以下的深度，海流為由南向北流動的黑潮主流，特色生物大部分為刺尾鯛科與烏尾?科的魚種，另有鯖魚科的魚種也會在此洄游。,4.6,414,1.綠島的大白沙沙灘是最大的海灘，沙子白淨且細。\n2.能見度很好，有很多美麗的珊瑚。\n3.適合兒童戲水，是一個美好的家庭回憶。,https://www.google.com/search?q=%E5%A4%A7%E7%99%BD%E6%B2%99%E6%BD%9B%E6%B0%B4%E5%8D%80&oq=%E5%A4%A7%E7%99%BD%E6%B2%99%E6%BD%9B%E6%B0%B4%E5%8D%80&aqs=chrome.0.0i355i512j46i175i199i512j0i15i30.712j0j7&sourceid=chrome&ie=UTF-8#lrd=0x346f8d06aaaaaaab:0x9d2691c574f3af77，1，，，，,img/map_img/17.jpg,3
柴口浮潛區,東部地區,臺東縣,95142臺東縣綠島鄉柴口61號,22.67908576,121.475748,柴口浮潛區是綠島三大潛水區最北端的一處潛點，以壯麗的石珊瑚景觀著稱，海水深淺變化具有層次感，是一個天然完美的賞遊地點。每年六月至八月強勁的西南風吹拂綠島時，選擇避風面的柴口浮潛區是絕佳浮潛區。此外，綠島民宿業者多集中於此，浮潛後可直接回民宿沖洗，十分方便。,4.6,955,1.海底視野很好，清澈透明。\n2.海洋生態豐富，魚群多樣。\n3.有著名的尖翅燕魚郵筒，適合拍照。,https://www.google.com/search?q=%E6%9F%B4%E5%8F%A3%E6%B5%AE%E6%BD%9B%E5%8D%80%0D%0A&ei=PqHRZPyqBJbihwPYyJeYCA&ved=0ahUKEwj8wfWU-8uAAxUW8WEKHVjkBYMQ4dUDCBA&uact=5&oq=%E6%9F%B4%E5%8F%A3%E6%B5%AE%E6%BD%9B%E5%8D%80%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOaftOWPo-a1rua9m-WNgApI4glQpwVYpwVwAngBkAEAmAEAoAEAqgEAuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x346f8db0fff41a1f:0x30880968a257b4cf，1，，，，,img/map_img/18.jpg,4
海洋之心,東部地區,臺東縣,951臺東縣綠島鄉漁港路,22.65591797,121.4714932,石朗一帶為軟珊瑚礁群海岸，海岸線平緩綿延，海底設置了世界最深11米的豆丁海馬海底郵筒，可以投遞專用防水明信片，當親友收到綠島鹹鹹海味的明信片時，相信會給人留下難忘深刻的體驗，還有具有人工漁礁功能的「海洋之心」裝置藝術，將成為浪漫婚紗的水下拍攝熱點。附近有太平洋黑潮北流通過，周邊有著多樣的環狀珊瑚礁，以及各種魚群，岸上的珊瑚礁群與淺灣的珊瑚礁緊密相連，也有較多珍貴的軟硬珊瑚與優遊其間的小魚，形成優美的海底景觀。,4.6,147,1.假日非常熱鬧，但非假日去不容易排隊。\n2.海底世界真的很漂亮，潛水是一個人生中解鎖的第一次體驗。\n3.綠島的海馬郵筒是一個必去的打卡景點，令人留連忘返。,https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E6%B4%8B%E4%B9%8B%E5%BF%83%E8%A9%95%E8%AB%96&ei=P6PRZOv6H4fZ-QaUppPIDQ&ved=0ahUKEwirluCJ_cuAAxWHbN4KHRTTBNkQ4dUDCBA&uact=5&oq=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E6%B4%8B%E4%B9%8B%E5%BF%83%E8%A9%95%E8%AB%96&gs_lp=Egxnd3Mtd2l6LXNlcnAiGOe2oOWztua1t-a0i-S5i-W_g-ipleirljIFEAAYogQyBRAAGKIEMgUQABiiBDIFEAAYogRIhCFQ0Q1Y-RxwAXgBkAEAmAGLAaABrAeqAQMwLji4AQPIAQD4AQHCAgoQABhHGNYEGLAD4gMEGAAgQYgGAZAGCg&sclient=gws-wiz-serp#rlimm=4236165206603613581,img/map_img/19.jpg,null
花瓶岩,南部地區,屏東縣,929屏東縣琉球鄉,22.35541851,120.38165,花瓶岩為小琉球最顯眼、最著名的地標。是一塊珊瑚礁岩，因長期受海水差異性侵蝕，而形成頭大身小的外觀，奇花異草叢生其間，使岩石看起來如同插有花草的花瓶造型，因此取名為『花瓶石』。,4.5,10376,1.小琉球地標景點之一。\n2.照片在太陽下山時拍攝最漂亮。\n3.回憶留在心中，但要珍惜當下，學會長大。,https://www.google.com/search?q=%E8%8A%B1%E7%93%B6%E5%B2%A9%0D%0A&ei=7qPRZPn3K7eB2roP7fyjiAg&ved=0ahUKEwj5pqXd_cuAAxW3gFYBHW3-CIEQ4dUDCBA&uact=5&oq=%E8%8A%B1%E7%93%B6%E5%B2%A9%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiCuiKseeTtuWyqQpIogtQiwZYiwZwAngBkAEAmAEAoAEAqgEAuAEDyAEA-AEB-AECqAIA4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x3471e57038033fd7:0xc842f4c9d32e16bf，1，，，，,img/map_img/20.jpg,null
中澳,南部地區,屏東縣,929屏東縣琉球鄉三民路124號,22.35122843,120.3875026,中澳沙灘位於琉球嶼東北側，一眼望去海水非常透徹，且有一大片的白色沙灘，上有滿滿的珊瑚碎屑跟貝類，沙灘上還可以看到各式各樣美麗的白化珊瑚，中澳沙灘的沙岸淺而長浪也不大，海水透明的像似乾淨的河水，能盡情玩水玩沙，小琉球最重要的生物「綠蠵龜」產卵也是在這沙灘。,4.8,159,1.可觀賞到海龜和魚群。\n2.浮潛是必須的。\n3.沒有漂浮的垃圾。,https://www.google.com/search?q=%E5%B0%8F%E7%90%89%E7%90%83%E4%B8%AD%E6%BE%B3%0D%0A&ei=T6TRZOmdCZ_u2roPju-zoAY&ved=0ahUKEwipgaOL_suAAxUft1YBHY73DGQQ4dUDCBA&uact=5&oq=%E5%B0%8F%E7%90%89%E7%90%83%E4%B8%AD%E6%BE%B3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOWwj-eQieeQg-S4rea-swpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x3471e5a928b78d75:0x1bca3287178693f6，1，，，，,img/map_img/21.jpg,null
電廠,南部地區,屏東縣,929屏東縣琉球鄉仁愛路1之11號,22.33871866,120.3778391,"無
",4.5,13,1.網美老木位於小琉球的臺電旁，需要沿著海岸走一段路才能找到。\n2.這個秘境景點有很多漂流木，每個點拍起來的感覺都不一樣。\n3.在網美老木附近還可以遇到熱心的阿伯幫忙指導拍照。,https://www.google.com/search?q=%E5%B0%8F%E7%90%89%E7%90%83+%E9%9B%BB%E5%BB%A0&ei=JqfRZJvlNOGL2roPz9y62Ak&ved=0ahUKEwibkKPmgMyAAxXhhVYBHU-uDpsQ4dUDCBA&uact=5&oq=%E5%B0%8F%E7%90%89%E7%90%83+%E9%9B%BB%E5%BB%A0&gs_lp=Egxnd3Mtd2l6LXNlcnAiEOWwj-eQieeQgyDpm7vlu6AyBRAAGKIEMgUQABiiBDIFEAAYogQyBRAAGKIESPoFUPUBWPUBcAF4AZABAJgBngGgAZ4BqgEDMC4xuAEDyAEA-AEBwgIKEAAYRxjWBBiwA-IDBBgAIEGIBgGQBgo&sclient=gws-wiz-serp#lrd=0x3471ef88bc34c71b:0xc9faf5eb3a8fc9a，1，，，，,img/map_img/22.jpg,null
