店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
JBC潛水,JBC Diving Center,北部地區,桃園市,330桃園市桃園區南華街207號,25.00484159,121.3656497,09:00,23:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至桃園站>搭乘客運至博愛路口>步行三分鐘抵達,蝙蝠洞公園、龍洞1號、龍洞3號,https://jbc-dive-shop.business.site/,4.7,11,1.保養過程中傳送照片給客戶，讓他們了解裝備狀況\n2.店家誠信可靠，言行一致\n3.教練用心有趣，保證一試成主顧,"https://www.google.com/search?q=JBC%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=JBC%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDsyBggCEEUYOzIGCAMQRRg90gEHNDIxajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x34429fb189fc5dfd:0xe397e7083b8163e7,1,,,,",img/store_img/11.jpg
巡航艦潛水,Cruiserdiving,北部地區,桃園市,330桃園市桃園區宏昌六街76號,24.9942515,121.297798,12:00,20:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至高鐵桃園站>搭乘捷運至機場第二航廈>步行六分鐘至四月臺>搭乘統聯至中山正光路口>步行六分鐘抵達,龍洞1.5號、龍洞4號、水晶宮,https://cruiserdiving.web66.com.tw/,5,244,1.教練專業細心指導\n2.學員安心出海\n3.潛水課程充實有效率,"https://www.google.com/search?q=%E5%B7%A1%E8%88%AA%E8%89%A6%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBjHKxh_qn84CGHPjwiOFjyf7tRW_A%3A1691473352266&ei=yNXRZMb2D5PW1e8P0fuIsAE&ved=0ahUKEwjG-ruircyAAxUTa_UHHdE9AhYQ4dUDCBA&uact=5&oq=%E5%B7%A1%E8%88%AA%E8%89%A6%E6%BD%9B%E6%B0%B4&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-W3oeiIquiJpua9m-awtDIHECMYigUYJzILEC4YgAQYxwEYrwEyBRAAGIAEMgUQABiABDIFEAAYgARIuRRQkQ9YkQ9wAngAkAEAmAFUoAFUqgEBMbgBA8gBAPgBAfgBAqgCCsICBxAjGOoCGCfCAhoQLhiABBjHARivARiXBRjcBBjeBBjgBNgBAeIDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#lrd=0x34681f1a00ba80bf:0x8e1fe2a5819236c3,1,,,,",img/store_img/12.jpg
夢想家潛水,A Dreamer Diving,北部地區,桃園市,334桃園市八德區忠勇三街87號,24.98180405,121.309471,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘捷運至永寧站>搭乘客運至大成龍門社區>步行六分鐘抵達,龍洞灣、龍洞1.5號、象鼻岩放流區,https://www.dreamer-diving.com.tw/aboutus.htm,5,85,1.教練和助教注重潛水安全，提供耐心指導\n2.教學模式讓學員有安全感，確保學員真正學會潛水技能\n3.店家值得信賴，教練和助教認真細心,"https://www.google.com/search?q=%E5%A4%A2%E6%83%B3%E5%AE%B6%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A4%A2%E6%83%B3%E5%AE%B6%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBggDEEUYO9IBCDEwNDFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x34681e6523b140b1:0xd3bd47190a757927,1,,,,",img/store_img/13.png
28度C潛水俱樂部,null,北部地區,桃園市,32093桃園市中壢區龍平三街6號,24.93698278,121.2565993,null,null,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至高鐵桃園站>搭乘客運至中堅站 >步行十分鐘抵達,玫瑰花園、蝙蝠洞公園、鼻頭角公園,https://28c.business.site/,5,7,1.教練親切人超好，CP值很高\n2.教練注重安全，裝備新，價錢合理\n3.教練人很好，上課又很仔細，很有耐心,"https://www.google.com/search?q=28%E5%BA%A6C%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&rlz=1C1CHBF_zh-TWTW901TW901&oq=28%E5%BA%A6C%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiiBDIHCAIQABiiBDIHCAMQABiiBDIHCAQQABiiBDIHCAUQABiiBDIGCAYQRRg90gEHMjQ1ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3468227dcf61cc15:0xb6f656673319312,1,,,,",img/store_img/14.jpg
元氣潛水,null,北部地區,桃園市,330桃園市桃園區中平路34之1號,24.99197052,121.2909633,null,null,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至高鐵桃園站>搭乘捷運至機場第二航廈>步行六分鐘至四月臺>搭乘統聯至中山中平路口>步行三分鐘抵達,龍洞1.5號、龍洞3號、龍洞4號,https://www.facebook.com/people/%E5%85%83%E6%B0%A3%E6%BD%9B%E6%B0%B4%E5%9F%B9%E8%A8%93%E7%8F%AD/100057139282752/,null,null,無,無,img/store_img/15.jpg
湛藍(Into The Blue),Into the Blue,北部地區,桃園市,338桃園市蘆竹區忠孝東路17-3號4樓,25.04991345,121.2934328,09:00,18:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘公車至長榮>步行六分鐘抵達,蝙蝠洞公園、龍洞1號、龍洞3號,https://chat.openai.com/?model=text-davinci-002-render-sha,5,3,1.教練帥氣\n2.熱誠親切\n3.整個學習過程都很有安全感,"https://www.google.com/search?q=%E6%B9%9B%E8%97%8D%28Into+The+Blue%29&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBiOZ7VHrpVdTzLWbajY-HYE1S_acA%3A1691474097492&ei=sdjRZI7bHZKDoATfuLKIBg&ved=0ahUKEwjO9-iFsMyAAxWSAYgKHV-cDGEQ4dUDCBA&uact=5&oq=%E6%B9%9B%E8%97%8D%28Into+The+Blue%29&gs_lp=Egxnd3Mtd2l6LXNlcnAiFea5m-iXjShJbnRvIFRoZSBCbHVlKTIFEAAYogQyBRAAGKIEMggQABiJBRiiBEihGFCPE1iPE3ACeACQAQCYAW6gAW6qAQMwLjG4AQPIAQD4AQH4AQKoAgrCAgcQIxjqAhgn4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#lrd=0x34681f148786b13f:0x4651300032c1a5de,1,,,,",img/store_img/16.png
亞太潛水訓練中心,Yeatay Diving Training Center,北部地區,桃園市,320桃園市中壢區龍岡路三段572號,24.94131613,121.2379503,11:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至高鐵桃園站>搭乘客運至中壢客運總站>步行至中壢後火車站>搭乘客運至伯公廟>步行一分鐘抵達,龍洞灣、龍洞1.5號、象鼻岩放流區,https://www.facebook.com/yeataydiver/?locale=zh_TW,4.8,9,1.教練熱忱\n2.專業教練\n3.價錢公道設備完善,"https://www.google.com/search?q=%E4%BA%9E%E5%A4%AA%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%BA%9E%E5%A4%AA%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgATSAQcxNzhqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x34682259780f108f:0xf73c81b8b9513146,1,,,,",img/store_img/17.jpg
包捷潛水,null,北部地區,宜蘭縣,261宜蘭縣頭城鎮濱海路六段70號,24.97010843,121.9240208,09:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至大溪火車站>步行十九分鐘抵達,豆腐岬公園、粉鳥林,"https://www.google.com.tw/maps/place/%E5%8C%85%E6%8D%B7%E6%BD%9B%E6%B0%B4/@24.9433808,121.9002561,17z/data=!3m1!4b1!4m6!3m5!1s0x345d5f2b26d1ced1:0xa455ef0a2d969de!8m2!3d24.943376!4d121.902831!16s%2Fg%2F11fy1v3zdm?entry=ttu",4.3,4,1.友好的服務\n2.專業態度\n3.周到的關懷,"https://www.google.com/search?q=%E5%8C%85%E6%8D%B7%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8C%85%E6%8D%B7%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg7MgYIAhBFGDvSAQc2NjNqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x345d5f2b26d1ced1:0xa455ef0a2d969de,1,,,,",img/store_img/18.jpg
亞太遊艇-宜蘭龜山島,Sea Expert,北部地區,宜蘭縣,261宜蘭縣頭城鎮烏石巷遊艇碼頭,24.87156419,121.8379208,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至南港火車站>搭乘火車至烏石港轉運站>步行七分鐘抵達,豆腐岬公園、粉鳥林,https://www.facebook.com/apyacht888/?locale=zh_TW,5,632,1.船長和水手非常關心和貼心\n2.意外遇到海豚和美景\n3.教練很專業、帥氣，船家非常安全,"https://www.google.com/search?q=%E4%BA%9E%E5%A4%AA%E9%81%8A%E8%89%87-%E5%AE%9C%E8%98%AD%E9%BE%9C%E5%B1%B1%E5%B3%B6+%E7%89%9B%E5%A5%B6%E6%B5%B7+%E7%89%9B%E5%A5%B6%E6%B9%96+sup%E7%AB%8B%E6%A7%B3+%E9%81%8A%E8%89%87%E6%B4%BE%E5%B0%8D+%E6%BD%9B%E6%B0%B4%E6%B5%AE%E6%BD%9B+%E6%B0%B4%E4%B8%8A%E6%B4%BB%E5%8B%95+%E5%B8%86%E8%88%B9%E7%A7%9F%E8%B3%83&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBhJ2ZZXi9t3nuytwliQPq74H_9pog%3A1691474932646&ei=9NvRZK-FJ_Hd1e8P7vav0AY&oq=%E4%BA%9E%E5%A4%AA%E9%81%8A%E8%89%87%EF%BC%8D%E5%AE%9C%E8%98%AD%E9%BE%9C%E5%B1%B1%E5%B3%B6%EF%BD%9C%E7%89%9B%E5%A5%B6%E6%B5%B7%EF%BD%9C%E7%89%9Bs93&gs_lp=Egxnd3Mtd2l6LXNlcnAiM-S6nuWkqumBiuiJh--8jeWunOiYrem-nOWxseWztu-9nOeJm-Wltua1t--9nOeJm3M5MyoCCAAyBRAAGKIEMgUQABiiBDIFEAAYogRIgytQuAZY0CNwBHgBkAEAmAF_oAHABaoBAzUuMrgBAcgBAPgBAfgBAqgCCsICBxAjGOoCGCfCAgUQABiABMICCxAuGIAEGMcBGK8BwgIIEAAYiQUYogTiAwQYACBBiAYB&sclient=gws-wiz-serp#lrd=0x3467f9fe67f78245:0xa3135ed6930455b0,1,,,,",img/store_img/19.jpg
珊瑚海潛水,null,北部地區,宜蘭縣,270宜蘭縣蘇澳鎮,24.58647922,121.8789205,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘火車至蘇澳新火車站>搭乘公車至豆腐岬風景區>步行兩分鐘抵達,豆腐岬公園、粉鳥林,https://coralseasup00692.rezio.shop/zh-TW,5,2,1.教練人很好相處\n2.服務又好\n3.提供拍照、錄影,"https://www.google.com/search?q=%E7%8F%8A%E7%91%9A%E6%B5%B7%E6%BD%9B%E6%B0%B4270%E5%AE%9C%E8%98%AD%E7%B8%A3%E8%98%87%E6%BE%B3%E9%8E%AE&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBjrU_2_WZC8bcZwh8t6IVyVaLNyqg%3A1691476607365&ei=f-LRZKT7FfXQ1e8P_Zia4AE&ved=0ahUKEwjkts-yucyAAxV1aPUHHX2MBhwQ4dUDCBA&uact=5&oq=%E7%8F%8A%E7%91%9A%E6%B5%B7%E6%BD%9B%E6%B0%B4270%E5%AE%9C%E8%98%AD%E7%B8%A3%E8%98%87%E6%BE%B3%E9%8E%AE&gs_lp=Egxnd3Mtd2l6LXNlcnAiJOePiueRmua1t-a9m-awtDI3MOWunOiYree4o-iYh-a-s-mOrjIFEAAYogQyBRAAGKIEMgUQABiiBDIFEAAYogRIlQ9Q0QhY0QhwAXgBkAEAmAF7oAF7qgEDMC4xuAEDyAEA-AEC-AEBwgIKEAAYRxjWBBiwA-IDBBgAIEGIBgGQBgY&sclient=gws-wiz-serp#lrd=0x3467e9cf543d6b4d:0x5dc8ea8119b2e08e,1,,,,",img/store_img/20.jpg
良友潛水,null,北部地區,基隆市,202基隆市中正區中正路598號,25.15705511,121.7669359,09:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至臺北車站>搭乘客運至基隆火車站>搭乘客運至二信分社>步行兩分鐘抵達,基隆潮境公園、祕密花園、花牆,https://www.facebook.com/people/%E8%89%AF%E5%8F%8B%E6%BD%9B%E6%B0%B4/100054622772268/,4.8,18,1.老闆專業又友善\n2.潛水器材價格便宜\n3.教練很專業,"https://www.google.com/search?q=%E8%89%AF%E5%8F%8B%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E8%89%AF%E5%8F%8B%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMgYIAxBFGDvSAQc2MTJqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x345d4f00324dfa93:0x1a01bf951b46bb45,1,,,,",img/store_img/21.jpg
