關鍵字,回應
浮潛秘境海底郵筒,注意事項：\n1. 最大深度約10米。\n2. 浮潛或潛水初學者的好地方，建議一定要教練帶比較安全。\n3. 此潛水區海水混濁，能見度低。
杭灣,注意事項：\n1. 腳下岩石多需小心。\n2. 此潛水區海水混濁，能見度低。
月鯉灣,注意事項：\n1. 建議找教練來浮潛比較安全一點，因為附近沒有救生員。\n2. 岸邊是粗的珊瑚礁沙灘很刺腳，記得要穿鞋來到岸邊。
南方四島,注意事項：\n1. 容易有強流，不適特殊專業人士不要前往。\n2. 當天需確認好風浪狀況，以免發生危險。
薰衣草森林,注意事項：\n1. 最大深度約5米。\n2. 要自備蛙鞋，且要非常小心，不要傷到珊瑚。
東西吉廊道,注意事項：\n1. 最大深度約25米。\n2. 流強多，必須要是專業潛水員。
基隆潮境公園,注意事項：\n1. 深度約為25米。\n2. 地勢落差約20公尺，路面也不平坦，因此需要特別小心。\n3. 此為海洋保育區，全年禁止採捕\n4. 綠苔會滑，請勿奔跑。
基隆平浪橋,注意事項：\n1. 尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態。\n2. 注意當天的水質和能見度情況。
花園二號,無。
祕密花園,注意事項：\n1. 此處底質偏泥，隨著漲退潮會帶起泥沙，身處其中能見度極低。\n2. 避免進入航道範圍。\n3. 穿著蛙鞋需注意，避免碰觸到珊瑚。
花牆,注意事項：\n1. 尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態。\n2. 注意當天的水質和能見度情況。
油庫口,無。
鋼鐵礁,注意事項：\n1. 深度約為35米。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n3. 東北季風時，能見度非常低。
海建號沈船,注意事項：\n1. 因能見度不佳，建議攜帶兩支以上手電筒。\n2. 艦橋有設置下潛繩、遭遇強流時可依此下潛，以免錯失潛點。\n3. 僅能船前抵達。
鋼鐵屋,無。
鼻頭角公園,注意事項：\n1. 深度約為25公尺米。\n2. 做好防曬、多補充水分\n3. 注意貴重物品。
蝙蝠洞公園,注意事項：\n1. 深度約為18米。\n2. 容易有暗流產生。\n3. 注意瘋狗浪。
龍洞灣,注意事項：\n1. 深度約為15~25米。\n2. 熟悉當地的海流和潮汐情況，避免強大的海流或潮汐影響潛水安全。\n3. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n4. 做好防曬、多補充水分。
龍洞1號,注意事項：\n1. 深度約為16-18米。\n2. 此地車輛無法到達。\n3. 入園須收門票錢。\n4. 不能攜帶外食。\n5. 請勿攜帶撈網及捕撈用具進入。
龍洞1.5號,注意事項：\n1. 觀察軟絲產房生態復育活動時應儘量減少干擾。\n2. 東北季風影響時，迎風面浪大。
龍洞2號,注意事項：\n1. 注意不規則的亂流。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n3. 做好防曬、多補充水分。
龍洞3號,注意事項：\n1. 做好防曬、多補充水分。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
龍洞4號,注意事項：\n1. 深度約為18米。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n3. 做好防曬、多補充水分。
蚊子坑,注意事項：\n1. 深度約為18米。\n2. 保持良好中性浮力，不要破壞到海洋生態。\n3. 做好防曬、多補充水分。
水晶宮,注意事項：\n1. 確保您的潛水設備完好且正確運作。\n2. 在上升時，請遵循安全上升速度。\n3. 事先計劃好潛水行程。
象鼻岩放流點,注意事項：\n1. 禁止攀岩。\n2. 垃圾不落地。\n3. 確保你身體狀況良好。
玫瑰花園,注意事項：\n1. 深度約8~10米。\n2. 避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境。
豆腐岬公園,注意事項：\n1. 做好防曬、多補充水分。\n2. 避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境。
粉鳥林,注意事項：\n1. 下水點近岸50米內 深度約5~12米不等。\n2. 須注意有海扇跟海鞭的地方海流快且亂。\n3. 建議夏天或是吹南風西南風時下水。
石梯坪,注意事項：\n1. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n2. 做好防曬、多補充水分。\n3. 垃圾不落地。
杉原灣,注意事項：\n1. 浮潛踢水時要格外小心，不要踢到珊瑚。\n2. 近海能見度低要注意。
三仙台,注意事項：\n1. 潮間帶礁岩濕滑，請勿奔跑。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。\n3. 不輕易觸碰任何不明之海洋生物。
中寮漁港,注意事項：\n1. 有時候有居民在港內佈網，在下水前須小心觀察港內與周邊狀況。\n2. 做好防曬、多補充水分。\n3. 須小心底下尖銳的礁石。
黑毛礁,注意事項：\n1. 不輕易觸碰任何不明之海洋生物。\n2. 綁下潛繩時應挑選非敏感的礁石。
柴口,注意事項：\n1. 須注意水深的變化。\n2. 請勿攜帶海洋生物回家。\n3. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
公館鼻,注意事項：\n1. 須注意地形的高低變化。\n2. 不輕易觸碰任何不明之海洋生物。
將軍岩,注意事項：\n1. 入水時禁止從航道與港口下水。\n2. 因潛水船會在附近潛水，須注意與潛水船的距離避免發生危險。\n3. 請勿攜帶海洋生物回家。
豆丁礁,無。
一線天,注意事項：\n1. 此處海流強勁，潛水時須注意安全。\n2. 可能會發生湧升流和下降流。\n3. 請勿過度的驚擾海中生物。
大峽谷,注意事項：\n1. 最大深度可達35米。\n2. 時常有強流發生，須注意安全。\n3. 須注意保暖。
仙人疊石,注意事項：\n1. 注意潮汐的變化。\n2. 海邊都是尖銳礁石建議穿厚底的防滑鞋。
仙掌森林,無。
大白沙,注意事項：\n1. 最大深度可達30米。\n2. 踢水時要格外小心，不要踢到珊瑚。\n3. 海底深度變化大，需多留意。\n4. 較適合進行水肺潛水。
獨立礁,注意事項：\n1. 深度大約為18米~31米。\n2. 屬強流區須注意。\n3. 保持良好中性浮力，不要破壞到海洋生態。
教堂,注意事項：\n1. 請勿過度的驚擾海中生物。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
鋼鐵礁,注意事項：\n1. 避免潮流太強當地有設置導引繩。\n2. 踢水時要格外小心，不要踢到珊瑚。\n3. 不輕易觸碰任何不明之海洋生物。
馬蹄橋,注意事項：\n1. 此區域海流較強。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
龜灣鼻,注意事項：\n1. 水深約15~30米。\n2. 海象不定且較多礁岩，需注意。
雞仔礁,注意事項：\n1. 因風浪限制，未必每個季節都可下水。\n2. 請勿攜帶海洋生物回家。
海底郵筒,注意事項：\n1. 需購買經過特別防水設計的海底明信片。\n2. 明信片每星期會收信兩次。
破沉箱,注意事項：\n1. 請勿過度的驚擾海中生物。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
大香菇,注意事項：\n1. 此區域海流較強。\n2. 請勿過度的驚擾海中生物。\n3. 不輕易觸碰任何不明之海洋生物。
海底十字架,注意事項：\n1. 請勿過度的驚擾海中生物。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
小丑島,注意事項：\n1. 請勿攜帶海洋生物回家。\n2. 請勿過度的驚擾海中生物。
後花園,無。
六米礁,注意事項：\n1. 深度約18米。\n2. 沿岸流比較強，建議選擇船潛進行活動。\n3. 不輕易觸碰任何不明之海洋生物。
斜坡花園,無。
機場外礁,注意事項：\n1. 不輕易觸碰任何不明之海洋生物。\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境。
八代灣沉船,注意事項：\n1. 最大深度約36米。\n2. 此處浪大，須注意安全。\n3. 此海域海流較強。
蘭恩,注意事項：\n1. 海流不穩定，需小心。\n2. 岩石拱門內及後方水流較強，請勿強行穿越。
漁人舊部落港灣,注意事項：\n1. 飛魚季期間禁止在這潛水。\n2. 港灣斜坡濕滑，要特別注意。
椰油斷層,注意事項：\n1. 飛魚季期間禁止在這潛水。\n2. 須小心強勁海流。\n3. 避免從部落灘頭下水。
開元港藍洞,注意事項：\n1. 需先確認船舶進港時間並研擬潛水計劃。\n2. 務必攜帶浮球。\n3. 須小心強勁海流。
椰油浮潛區,注意事項：\n1. 深度約10米。\n2. 不輕易觸碰任何不明之海洋生物。
玉女岩,注意事項：\n1. 請勿攜帶海洋生物回家。\n2. 請勿過度的驚擾海中生物。
朗島秘境,注意事項：\n1. 須注意保暖。\n2. 因水較深，不適合單純玩水的遊客。
母雞岩外礁,注意事項：\n1. 注意潮汐的變化。\n2. 請注意並非任何地點都能下海。\n3. 務必攜帶浮球。
雙獅岩,注意事項：\n1. 須小心強勁海流。\n2. 請勿過度的驚擾海中生物。
雙獅天井,注意事項：\n1. 因為洞內狹窄，所以較有挑戰性。\n2. 注意潮差。
東清七號地小涼亭,注意事項：\n1. 請勿往外游超過灣口太多，容易碰上強勁海流。\n2. 海邊礁岩銳利，上下岸須小心。
情人洞,注意事項：\n1. 洞內水深16-22米。\n2. 不建議獨自下此點。
核廢料儲存場潮池,注意事項：\n1. 退潮時去較好。\n2. 淺水處很多珊瑚，請勿穿蛙鞋及干擾浮潛。
龍門港小香菇,注意事項：\n1. 務必攜帶浮球。\n2. 請勿過度的驚擾海中生物。
作伙潛水訓練中心,介紹：\n「作伙潛水」是位於桃園南崁的實體店家，我們致力於提供安全、開心和放心的潛水體驗。我們強調精緻化小班教學，並堅持讓學員在安全的泳池環境下適應水中環境和技巧，然後再移訓至海邊進行進一步訓練。我們也有多年的出國潛水旅遊經驗，希望大家能一起分享海底的美麗，並宣導對海洋的愛護。
JBC潛水,介紹：\n專注於潛水教學和潛水設備維修，提供了多種潛水課程，經驗豐富的教練團隊，以及高品質的潛水設備維修服務。
巡航艦潛水,介紹：\n由吳總教練於89年創辦巡航艦潛水中心，以推廣休閒潛水為目標，提供PADI潛水教學系統，完善教學設施和親切專業的教練團隊。歡迎加入我們，一同勇闖海洋未知的內太空。
夢想家潛水,介紹：\n我們是桃園的潛水訓練中心，致力於實現熱愛海洋的人們悠遊海底的夢想，並經常舉辦淨灘及淨海活動回饋海洋，且我們擁有經驗豐富的潛水教練團隊，不論你是想要體驗潛水、團體潛水、一對一潛水、潛水證照、客製化潛水行程、蘭嶼潛水、小琉球潛水、帛琉潛水等，我們都有提供。
28度C潛水俱樂部,介紹：\n28度潛水俱樂部專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
元氣潛水,介紹：\n元氣潛水主要是著重在證照培訓的部分，我們提供全面的課程，並由經驗豐富的教練指，無論是初學還是有經驗的潛水愛好者，我們都可以提供專業的指導和豐富的潛水體驗。
湛藍(Into The Blue),介紹：\n與大多數上班族不同，我們是一群熱愛登山和潛水的好友，專注於將戶外生活的精神和風格融入我們的生活。我們的團隊包括旅遊部落客、內容創作者、文創商品設計師和潛水教練，每個人都是活躍的戶外活動愛好者。
亞太訓練中心,介紹：\n亞太潛水訓練中心是一家提供PADI潛水教學、潛水旅遊、潛水攝影和潛水裝備買賣的公司，我們的專業團隊提供全方位的潛水體驗，從教學到旅遊，讓你深入海洋世界。
包捷潛水,介紹：\n包捷潛水是一家主要從事潛水裝備販售和租賃的公司，他們提供各種類型的潛水裝備，包括潛水器材、潛水衣、氣瓶、浮潛器材等，以滿足不同潛水者的需求。
亞太遊艇-宜蘭龜山島,介紹：\n亞太遊艇是一家專業的遊艇運營公司，與一般的潛水店家不同，他們主要是以遊艇出海為主，他們提供了各種不同的船型供客人選擇，並且還有不同的海上活動可以體驗。
珊瑚海潛水,介紹：\n珊瑚海潛水是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
良友潛水,介紹：\n良友潛水是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
國傑工程企業有限公司,介紹：\n國傑工程企業有限公司是一家主要從事潛水裝備販售和租賃的公司，他們提供各種類型的潛水裝備，包括潛水器材、潛水衣、氣瓶、浮潛器材等，以滿足不同潛水者的需求。
利峰國際潛水,介紹：\n利峰國際潛水是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
朝海致境潛水中心,介紹：\n潮海致境是位於基隆八斗子的潛水中心，提供方便的交通位置和充足的停車空間，避免塞車和停車位困擾，並且他們獨家開發的潛水路線讓你享受舒適的潛水環境，並以精緻小班制的教學品質為特點，提供有趣且高品質的潛水體驗。
揪潛水,介紹：\n揪潛水是一家特色潛店，提供潛水活動結合海洋保育和生態觀光，他們以在地出發，致力於為海洋生態盡一份心力，通過潛水體驗和教育，他們希望喚起人們對保護海洋的關注和參與。
東北角潛水客棧,介紹：\n東北角潛水客棧是一家成立於東北角龍洞灣旁的潛水客棧，源於幾位潛水愛好者為了解決在該地區潛水的不便而創立，客棧提供淋浴間供潛水者使用，讓每位潛水愛好者能在潛水後沖澡，此外，客棧還設有裝備清洗區和晾曬架，方便潛水者清洗和曬乾裝備，為潛水愛好者提供完善的服務。
88K潛水中心,介紹：\n88K潛水中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
神豬海底漫遊潛水訓練中心,介紹：\n神豬海底漫遊潛水訓練中心主要是著重在證照培訓的部分，我們提供全面的課程，並由經驗豐富的教練指導，無論是初學還是有經驗的潛水愛好者，我們都可以提供專業的指導和豐富的潛水體驗。
鬥陣潛水,介紹：\n鬥陣潛水是一家專業潛水公司，注重運動教育和海洋運動，培養學員成為教練並關注環境保護，他們提供專業、安全、健康的潛水管道，讓更多人欣賞水下美景，共同維護海洋生態。
亞潮潛水中心,介紹：\n亞潮潛水成立於1988年，是一家國內制度完善、規模龐大的潛水中心。他們擁有近30位教練團成員，每期課程由一位主持教練負責，並有其他教練團隊提供支援，他們是SSI和PADI國際潛水組織的授權潛水中心，擁有完善的教學設備和多國語系教材，並由資深的教練授課和核發執照，他們致力於培養學員成為教練並關注環境保護，讓每位學員能無壓力地享受潛水學習的樂趣。
iDiving愛潛水,介紹：\niDiving是一家潛水店家，擁有80位水肺自潛教練團隊，他們提供上課和活動時高比例的教練人數，並可客製化上課時間，方便學員安排，作為駐店的SSI教練訓練官，iDiving從初級到教練培訓都能提供完整的教學服務。每年冬季，他們都進行教練資格更新復訓，確保教練的專業水平。此外，iDiving還開設了全年33團各地潛水旅遊團，包括東北角、小琉球、墾丁、蘭嶼、綠島和澎湖等地，無論是新手岸潛團還是老手船潛，iDiving都能帶領你享受山水之間的潛水樂趣。
四分之一潛水訓練中心,介紹：\n四分之一潛水是由三位潛水教練和一位設計師組成的小團隊，四分之一，代表我們都是團隊的一份子，四分之一，當然也代表我們最愛的季節－夏天。我們提供客製化的預約制課程，教練們擁有豐富的經驗，將嚴肅的學習活動轉化為歡樂的潛水體驗。
飛漩潛水,介紹：\n飛漩潛水是一家專注於考證照和提供考照輔導專案的潛水公司。他們著重在幫助潛水愛好者順利通過各種潛水證照考試，除此之外他們還有與教育單位合作各項潛水考照的輔導案。
悠潛潛水,介紹：\n悠潛潛水成立於2015年，以潛水訓練、裝備販售和潛水旅遊為主要業務，教練團隊擁有多年的教學經驗，提供多種系統的證照課程。安全是他們的首要關注，並定期舉辦國內外潛水旅遊活動。
海玩子潛水訓練中心,介紹：\n海玩子潛水訓練中心是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
台灣潛水Taipei,介紹：\n台灣潛水是一家始於1980年的潛水店，起初從事工程潛水，後轉型為休閒潛水，他們的宗旨是將海洋帶進人們的生活，讓更多人熱愛大海並參與保護海洋的行動，他們提供專業的潛水課程、海洋商品販售以及保育活動的推廣，期望能真正將海洋融入每個人的生活。
藍星海洋潛水俱樂部,介紹：\n藍星海洋俱樂部是一家潛水店，他們喜歡潛入海中，讓人們能俯瞰海底星空、感受水的溫度、聆聽海洋聲音和自己的心跳聲，回到最初生命的起點，他們提供獨特的潛水體驗，讓人們進一步探索和體驗海洋的神秘和美麗。
52龍洞/52LDNAUI Diving Center,介紹：\n52龍洞是一家位於台灣新北市貢寮區龍洞街52號的潛水中心，專注於提供多種潛水課程和觀光潛水體驗，他們歡迎所有對潛水有興趣的人前來體驗，並提供專業的指導和安全保障，無論是初學者還是有經驗的潛水員，52龍洞都致力於讓每個人享受到精彩而安全的潛水之旅。
Bai-Hi潛水休閒中心,介紹：\nBai-Hi潛水休閒中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
逐海俱樂部,介紹：\n逐海俱樂部是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
88潛水俱樂部,介紹：\n88潛水俱樂部是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
891新莊潛水家,介紹：\n891新莊潛水家是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
台灣潛伴俱樂部,介紹：\n台灣潛伴俱樂部是由熱愛潛水教學的成員所組成，注重專業與安全，並致力於海洋保育，他們提供彈性的課程安排，小班制教學，以及全系列的PADI課程選擇，讓學員享受個人化且高品質的潛水體驗。
台灣樂潛 潛水中心,介紹：\n台灣樂潛 潛水中心主要是著重在證照培訓的部分，我們提供全面的課程，並由經驗豐富的教練指，無論是初學還是有經驗的潛水愛好者，我們都可以提供專業的指導和豐富的潛水體驗。
太平洋潛水中心,介紹：\n太平洋潛水中心成立於1989年，專注於休閒潛水的推廣和教育，他們注重個別化的教學，並將潛水安全置於首位，憑藉完整的SSI全方位教學系統，他們提供多元化的潛水培訓，讓你盡情享受蔚藍海洋的奇妙世界。
1988潛水家,介紹：\n1988潛水家是一家重視安全與專業的潛水中心，提供個人化的教學與精緻化的潛水課程，讓您安心享受藍色大海的魅力。他們的教練持有SSI和PADI雙系統認證，致力於推廣休閒潛水，並提供全方位的潛水服務和安全知識教育。
海底玩家潛水訓練中心,介紹：\n海底玩家潛水訓練中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
野人日記~澎湖南方四島/七美/無人島探險/海露、Sup浮潛/自潛澎湖90群島探險潛旅、自由潛水、私人潛導,介紹：\n野人日記是一間浮潛店，專為想要深入探索海底世界的冒險愛好者所設計，與其他浮潛店不同的是，這家店一天只接待一個團，讓每位客人擁有一整天的時間來充分體驗和享受海底的奇妙景觀。
PIDC亞果國際潛水中心,介紹：\n亞果國際潛水中心是一個位於澎湖的潛水中心，他們致力於打造一個永續的海洋觀光發展基地，同時推廣澎湖獨特的人文歷史和豐富的自然生態，他們提供客製化、多元化和深度化的海洋體驗，讓更多的人有機會親身接觸海洋、近距離感受海洋、並且深入了解海洋，同時也將澎湖的美麗推向國際。
稻荷潛水中心InariDive,介紹：\n專注於潛水教學和潛水設備維修，提供了多種潛水課程，經驗豐富的教練團隊，以及高品質的潛水設備維修服務。
波賽頓海洋運動俱樂部 Poseidon Water Sports Club,介紹：\n波賽頓海洋運動俱樂部位於澎湖本島南邊的蒔裡沙灘海域，是一個專業的海洋運動俱樂部，他們提供多樣化的水上活動，讓你盡情享受海洋的樂趣，不論你是寬板滑水、SUP、體驗潛水、浮潛、花火節夜划還是尋求專業潛水證照課程和滑水課程，他們都能滿足你的需求。
陽光阿有,介紹：\n陽光阿有提供多種水上活動，包括體驗潛水、專業浮潛、SUP板類運動和潮間帶活動，無論你是初次嘗試水下冒險，還是已經具有潛水經驗，他們都能為你提供適合的活動和專業指導。
海洋途徑潛水,介紹：\n海洋途徑潛水店是由一對姊弟於2015年共同創辦，以推廣海洋安全教育和生態環境保護為目標，他們提供多樣化的潛水活動，並致力於培訓專業潛水教練，讓更多人能夠突破自我、愛上海洋，並深入認識和欣賞美麗的海洋。
海獺潛水,介紹：\n海獺潛水是一個擁有獨特風格和熱情的潛水中心，他們以海獺為象徵，.代表著我們對水下世界的熱愛和對自然的敬重，就像海獺喜歡仰臥在水面上漂浮的姿態一樣，我們相信在水下潛水時，能夠讓潛水員在水面上仰泳一樣輕鬆自在。我們的目標是讓每位潛水者都能夠享受潛水帶來的樂趣和舒適感，同時在探索海洋的過程中培養對自然的敬愛之情。
波賽頓山水店（水肺潛水/浮潛）,介紹：\n波賽頓山水店專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
日日潛水,介紹：\n日日潛水是一個熱愛海洋的潛水中心，他們相信，看似平凡的海面下，藏著許多不凡的事物等待著我們去探索和遇見，不僅能讓你感受到陸地上豐富的沿海風光和樸實的人情，還能讓你親身參與珊瑚與海洋生物的復育計畫，在這裡，，不僅能接觸到澎湖陸地上的人文景緻，還能透過他們專業的帶領，一窺海洋世界的奇妙。
PADI澎湖興仁潛水訓練中心(有些活動有含住宿),介紹：\n興仁潛水是一家熱愛澎湖海洋之美的潛水中心，他們提供多種潛水活動，包括微旅行、學潛水或岸潛，並提供食宿三天的優惠價格。
喬米潛水 薰衣草海底郵筒浮潛 體驗潛水,介紹：\n喬米潛水是由麗喬有限公司經營的水域遊憩活動店面，他們提供多項潛水相關的服務，包括潛水訓練、旅遊潛水、潛水器材租賃和販售潛水裝備等。
澎湖潛水會,介紹：\n澎湖潛水會是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
